<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	00:00:00	1.08696	1.09046	1.08270	1.08970	30550	34053351000	0
2016.01.04	08:00:00	1.08970	1.09462	1.08452	1.08543	66270	88933327000	7
2016.01.04	16:00:00	1.08544	1.08627	1.07808	1.08319	60867	80051096000	7
2016.01.05	00:00:00	1.08274	1.08386	1.08147	1.08309	22455	26226133000	0
2016.01.05	08:00:00	1.08309	1.08362	1.07388	1.07417	60775	86913807000	7
2016.01.05	16:00:00	1.07417	1.07570	1.07104	1.07463	48973	70024365000	0
2016.01.06	00:00:00	1.07464	1.07729	1.07389	1.07446	28776	33264867000	7
2016.01.06	08:00:00	1.07445	1.07596	1.07127	1.07389	59553	84628225000	7
2016.01.06	16:00:00	1.07389	1.07992	1.07326	1.07796	60788	81711636000	7
2016.01.07	00:00:00	1.07789	1.08292	1.07734	1.08269	33414	37899037000	0
2016.01.07	08:00:00	1.08269	1.08743	1.07707	1.08583	73433	96716423000	7
2016.01.07	16:00:00	1.08582	1.09399	1.08257	1.09287	70838	100438362000	7
2016.01.08	00:00:00	1.09243	1.09331	1.08713	1.08777	34894	39160127000	0
2016.01.08	08:00:00	1.08777	1.08994	1.08028	1.08420	63960	93085271000	7
2016.01.08	16:00:00	1.08404	1.09299	1.08335	1.09245	73849	92695841000	7
2016.01.11	00:00:00	1.09171	1.09697	1.09077	1.09178	35463	36042990000	5
2016.01.11	08:00:00	1.09178	1.09336	1.08719	1.08809	56492	83675417000	7
2016.01.11	16:00:00	1.08808	1.08997	1.08476	1.08581	61798	88806870000	7
2016.01.12	00:00:00	1.08568	1.08845	1.08410	1.08754	29354	34898953000	0
2016.01.12	08:00:00	1.08753	1.08999	1.08328	1.08514	63630	89428249000	7
2016.01.12	16:00:00	1.08511	1.08773	1.08193	1.08570	66314	94420509000	7
2016.01.13	00:00:00	1.08579	1.08593	1.08109	1.08292	35097	44401932000	7
2016.01.13	08:00:00	1.08292	1.08377	1.08046	1.08306	61393	92011247000	7
